"application_type","keywords","visual_style","landing_page","dashboard_layout","color_palette","essential_ux","ui_style_bias"
"B2B Service","appointment, booking, consultation, business, corporate, enterprise, service","Clean, authoritative, minimal. Prioritize clarity, trust, and ROI communication. Avoid clutter, decorative motion, or playful aesthetics.","Hero communicates service value, target audience, and ROI. Social proof via client logos, metrics, or testimonials. CTA singular and visible. Avoid hidden information, generic messaging, or multiple competing CTAs.","Feature-rich layouts with clear hierarchy. Navigation shallow (5–7 items). Inline actions and feedback visible. Avoid multi-step menus or dashboards that require setup before value delivered.","Professional blue and neutral greys. Semantic colors for success, warning, error states only. Avoid decorative palettes that conflict with content or brand.","Credibility and clarity paramount. Feedback, errors, and loading states visible. Onboarding optional; defaults pre-configured. Avoid hidden complexity or misleading metrics.","Authoritative, clean UI emphasizing trust, hierarchy, and ROI"
"Financial Dashboard","admin, analytics, dashboard, data, financial, panel","Data-dense and high-contrast. Dark backgrounds with semantic alerts (red/green). Prioritize readability and accuracy. Avoid clutter, decorative motion, or inconsistent data display.","Dashboard presents key metrics immediately. Filters, sorting, and search always visible. Inline actions preferred. Avoid hidden KPIs or multi-step setup before value.","Card or table-based grids for data. Drill-down interactions supported. Navigation shallow (3–5 items). Avoid deeply nested dashboards or hidden data.","Dark background default with light mode toggle for user preference. Semantic colors for alerts and status - use teal/red instead of green/red for color-blind accessibility. Accent for highlights. Avoid decorative palettes that distract from data.","Accuracy and real-time updates critical. Loading, errors, and feedback immediate. Undo or confirmation where data changes occur. Avoid misleading displays or hidden states.","High-contrast, data-focused UI with semantic alerts and clear hierarchy"
"Gaming","entertainment, esports, game, gaming, play","Dynamic, immersive UI that prioritizes performance and instant feedback. Visual hierarchy must support rapid scanning of key actions and states. Typography should feel energetic but remain legible under high interaction loads. Avoid excessive decoration that obscures critical controls.","Landing pages should clearly communicate the game’s core experience, genre, and platform availability. Include robust media previews (screenshots, trailers) with clear start/play/CTA. Avoid hidden CTAs, autoplay audio without controls, or overloaded hero sections.","In‑game dashboards and overlays must surface relevant state (health, score, objectives) without obscuring content. Use predictable placement for primary actions and status information. Provide intuitive controls for inventory, settings, and social interactions. During active gameplay, avoid nested menus that slow decision cycles or require mode switching. In non-combat contexts (inventory, settings, strategy planning), nested menus are acceptable when they help organize complex systems into digestible segments.","Palette choices should reinforce game tone and readability; use contrast strategically to highlight interactive elements and critical states. Semantic colors convey success, danger, alerts, and neutral states consistently. Avoid palettes that create visual noise or fatigue. Ensure accessibility contrast thresholds are met.","Fast, responsive interactions are paramount. Immediate feedback on taps, selections, and transitions maintains the perception of control. Avoid delays, ambiguous loading states, or actions that break flow. Ensure key controls are reachable and predictable, and support keyboard/controller interaction. Avoid burying core actions under multiple gestures or hidden toggles.","Energetic, immersive UI; emphasizes rapid feedback, clear state cues, and performance."
"Government/Public Service","appointment, booking, consultation, government, public, service","Citizen-centered and highly accessible UI. Prioritize clarity, trust, and predictable structure over aesthetic complexity. Typography must be highly legible with strong contrast. Avoid decorative visuals that do not support clarity.","Landing pages must clearly state the service provided, eligibility criteria, and next steps. Use plain language and logical content sections that reduce cognitive load. Avoid jargon, multiple competing CTAs, or buried instructions. Primary CTAs (e.g., apply, register) must be visible without scrolling.","Dashboard or user areas should organize tasks by priority (urgent tasks first). Navigation must be shallow and crisp, with clear labels. Provide clear context for forms and status updates. Avoid long, nested menus, ambiguous feedback, or hidden next steps.","Use neutral, professional palettes with restrained accent colors for primary actions. Semantic colors should signal status only (e.g., green for confirmed, amber for attention, red for error). Avoid decorative or overly saturated palettes that reduce readability or perceived authority.","Government/public service users include broad, diverse populations. Meet Section 508 and WCAG 2.1 AA minimum (EN 301 549 for EU). Ensure full keyboard navigation, screen reader compatibility, color independence (never convey meaning by color alone), and time-based media alternatives. Use plain language throughout - assume no domain expertise. Forms must be forgiving with inline validation, clear error recovery, and minimal required fields. Provide multiple ways to find content and consistent navigation. Progress indicators are mandatory for multi-step flows. Avoid jargon, assumptions about user knowledge, or complex form structures.","Clear, trustworthy UI; emphasizes accessibility, plain language, and predictable interactions."
"Fintech/Crypto","banking, blockchain, crypto, defi, finance, fintech, money, nft, payment, web3","Technical and trustworthy UI that balances data density with clarity. Prioritize predictable patterns, clear affordances, and error prevention. Typography should communicate precision and hierarchy; avoid stylized fonts that impede numeric scanning.","Landing pages must immediately communicate trust signals - for traditional fintech: FDIC insurance, regulatory compliance; for crypto: smart contract audit badges, protocol insurance, institutional backing. Show supported assets and primary use cases. Provide transparent fee structures, risk disclosures, and examples of flows. Avoid ambiguous claims, vague incentives, or hidden costs that undermine trust.","Dashboard layouts must foreground critical financial data (balances, P&L, trends) with high contrast and clear grouping. Provide filters, date ranges, and drill‑downs without breaking context. Interactive charts and transaction lists should be synchronous with filters. Avoid buried controls, floating overlays that obscure data, or state changes without confirmation.","Palette should use restrained, credible tones (professional blues, greys). For financial status, use teal for gains and red for losses instead of green/red to support color-blind users (~8% of men). Always pair color with icons, labels, or directional arrows so meaning is never conveyed by color alone. Accent colors guide primary actions. Avoid loud or decorative palettes that undermine credibility or data legibility.","Trust and error prevention are foundational. Provide inline validation, clear confirmations for high‑impact actions, and undo paths where feasible. Explain risks and fees in plain language. Performance and responsiveness impact perceived reliability; avoid ambiguous loading states. Ensure accessibility and meeting numeric contrast needs. Avoid hidden fees, unclear security signals, or surprise states that undermine confidence.","Crisp, trustworthy UI; emphasizes data clarity, predictable patterns, and transparent financial cues."
"Social Media App","social, network, community, chat, messaging, friends, follow, post, feed","Engaging and immediate UI that prioritizes content visibility and interaction. Visual hierarchy guides attention to updates, notifications, and primary actions. Typography must remain legible across dense feeds. Avoid distracting decoration or unpredictable motion.","Landing page communicates value proposition, sign-up flow, and content type instantly. Highlight key social interactions (post, follow, message) above the fold. Include lightweight social proof (user counts, testimonials). Avoid hidden CTAs, long narratives, or complex multi-step onboarding.","Feed-centric dashboard prioritizes latest updates and relevant interactions. Be intentional about infinite scroll - it increases engagement but causes fatigue, accessibility issues (no bookmarkable position), and performance degradation; consider pagination or explicit load-more for some contexts. Navigation shallow (3-5 main sections) with clear labels. Inline interactions for likes, comments, shares. Notifications must be visible without overwhelming. Avoid deeply nested menus, hidden messaging, or buried content.","Neutral base with brand accent for primary actions. Semantic colors for alerts and statuses only. Contrast meets accessibility standards. Avoid decorative or multi-colored palettes that compete with content.","Engagement and safety are paramount. Users must understand interaction consequences. Provide undo paths, moderation cues, and inline feedback for posts/messages. Loading states visible but non-disruptive. Avoid hidden privacy settings, ambiguous notifications, or unpredictable feed updates.","Vibrant, interactive UI; emphasizes feed clarity, inline interactions, and immediate engagement cues."
"Productivity Tool","task, project, workflow, productivity, planner, management, organize","Structured, utility-first interface prioritizing clarity and efficiency. Visual hierarchy distinguishes primary tasks, status, and deadlines. Typography legible and neutral. Avoid ornamental decoration that distracts from productivity.","Landing page emphasizes key workflows, value proposition, and sign-up. Show task examples or demo outputs above the fold. Include clear CTA to start organizing. Avoid abstract messaging or hidden pricing.","Dashboard is workspace-centric with 1–3 primary columns (tasks, calendar, metrics). Inline actions, drag-and-drop, and collapsible sections. Filters and search always visible. Avoid cluttered panels, deeply nested settings, or dashboards that require configuration before use.","Neutral background with one primary brand accent for key actions. Semantic colors for task status (complete, overdue, blocked). Avoid excessive color coding or decorative palettes.","Time-to-value is critical. Users must start organizing tasks immediately. Provide inline guidance, defaults, undo paths, and starter templates that demonstrate value before requiring configuration. Keyboard shortcuts are essential for power users - design a coherent, discoverable shortcut system. Support batch operations on selected items. Avoid complex configuration before utility, hidden progress indicators, or unpredictable state changes.","Clean, functional UI; emphasizes workflow clarity, task hierarchy, and minimal distraction."
"Design System/Component Library","design, component, system, ui, kit, pattern, reusable, library","Consistent, modular, and systematic UI emphasizing predictability and reusability. Typography consistent and scalable. Avoid arbitrary style deviations or inconsistent spacing.","Landing page demonstrates core components, usage guidelines, and key patterns. Include interactive previews and code snippets. Avoid cluttered showcases or abstract descriptions without context.","Dashboard organizes components by category with searchable index. Previews, states, and variants visible inline. Versioning, theming, and usage guidance accessible without nested menus. Avoid disorganized, deep hierarchies or hidden component states.","Neutral base with primary accent for active selection or highlighting key patterns. Semantic colors for states only (error, warning, success). Avoid decorative palettes that distract from pattern clarity.","Consistency, accessibility, and usability are essential. Components must follow predictable interaction, responsive layouts, and scalable typography. Provide inline guidance, state previews, and usage examples. Avoid inconsistent naming, hidden variants, or non-standard interaction patterns.","Systematic, modular UI; emphasizes component clarity, consistent hierarchy, and reusable patterns."
"AI/Chatbot Platform","ai, artificial intelligence, automation, chatbot, ml, nlp, conversational","Focused, minimal and interaction-driven. Prioritize message clarity, predictable responses, and visual simplicity. Use clear affordances for input and output. Avoid decorative UI or ambiguous interactive elements.","Landing page must immediately convey core capabilities (e.g., what the AI can do), supported contexts, and a clear call to start a conversation or demo. Provide short examples of queries or outcomes. Avoid vague messaging or hidden primary actions.","Core interface is chat‑first with persistent context. Show history clearly, with affordances for follow‑ups, edits, and undo. Controls for model settings and preferences should be visible but unobtrusive. Avoid deep nested menus or burying essential chat actions.","Neutral base with restrained accent for primary actions (send, confirm). Semantic colors only for state feedback (error, success). Avoid high‑saturation palettes that compete with text and focus.","Conversational integrity and context accuracy are critical. Provide immediate feedback for input receipt, partial processing, and error states. Ensure user privacy expectations are evident (data retention, consent) and avoid surprises. Provide easily discoverable ways to correct misinterpretations. Avoid ambiguous error messaging, lost context, or hidden conversation controls.","Minimal, interaction-first UI focused on chat clarity and predictable conversational flow"
"NFT/Web3 Platform","nft, web3, blockchain, defi, crypto, token, marketplace","Tech-forward yet trustworthy UI. Present blockchain context simply, avoid jargon where possible. Use clear hierarchy for token actions, wallet status, and transaction flows. Avoid overwhelming technical displays without contextual explanation.","Landing page must explain what assets are, supported networks, and primary use cases (marketplace, minting, trading). Clearly disclose fees, risks, and wallet prerequisites. Use concrete examples of NFTs. Avoid vague hype messaging or hidden steps to onboard.","Dashboard lays out asset portfolio, transaction history, and key actions first. Provide filters, search, and network status at top. Wallet connectivity state must be clear. Avoid hidden controls or deep modes that isolate critical actions.","Dark or neutral base with high-contrast text; accents communicate primary actions (buy, sell, mint). Semantic colors for status (success, error, warning) consistent. Avoid decorative palettes that distract from critical transaction cues.","Trust and clarity are paramount. Provide clear confirmations for high-impact actions (mint, transfer, sell). Gas fee estimation must be visible and understandable before transaction commitment - explain base fee, priority, and estimated cost in plain language. Network switching between chains must be guided and obvious, not manual. Wallet onboarding must minimize seed phrase anxiety - explain recovery clearly and avoid 70%+ abandonment rates caused by unexplained 12-24 word phrases. Fees and network constraints must be transparent before commitment. Loading and error states must be explicit. Avoid ambiguous transaction statuses or burying key costs.","Trustworthy, web3 UI; emphasizes clarity of assets, balances, and transaction transparency"
"Creator Economy Platform","creator, economy, platform, audience, monetize, content, membership","Engaging, community-first interface that balances personal expression with clarity. Use modular content blocks, visible engagement cues, and predictable navigation. Avoid overly complex dashboards that hide primary creator goals.","Landing area should immediately communicate how creators benefit (audience growth, monetization). Include examples of successful creator outcomes with clear CTAs to join or create. Avoid vague value propositions or blocked access to primary flows.","Dashboard foregrounds follower metrics, revenue, content performance, and messaging. Provide filters and comparisons by period. Interaction tools (publish, schedule, analytics) visible without deep menus. Avoid confusing multi-step setups before basic usefulness.","Palette uses neutral backgrounds with brand accent for primary actions (publish, share, monetize). Semantic colors for status. Avoid decorative palettes that compete with content or community cues.","Creators need predictable flows for publishing, analytics, and engagement feedback. Provide inline guidance for scheduling, tagging, and engagement prompts. Ensure accessibility and mobile responsiveness. Avoid hidden defaults, complex permissions, and non-reversible bulk actions.","Engaging, community-first UI; emphasizes creator goals, performance clarity, and modular content"
"Sustainability / ESG Platform","sustainability, esg, environmental, governance, social, impact, metrics, reporting","Structured, data-driven, and trust-focused. Prioritize clarity, transparency, and measurable outcomes. Avoid decorative dashboards that obscure performance indicators.","Landing page communicates platform purpose, supported metrics, and actionable insights. Include concrete examples of impact reporting. Clear CTA to explore or demo. Avoid vague statements or hidden access to primary data.","Dashboard foregrounds ESG metrics, visualizations, and comparisons. Filters and drill-down options clearly labeled. Avoid overly complex visualizations that hide key insights. Provide context for metrics and benchmark comparisons.","Neutral background with brand accent to highlight key metrics. Semantic colors reserved for status and impact categories. Avoid distracting color palettes that conflict with data interpretation.","Accuracy, transparency, and comprehension are critical. Provide immediate feedback for data input, updates, and errors. Ensure all metrics have clear context and definitions. Avoid ambiguous reporting, hidden assumptions, or misleading visualizations.","Clean, data-centric UI; emphasizes transparency, clarity, and actionable ESG insights"
"Remote Work / Collaboration Tool","remote, collaboration, teamwork, project, chat, task, productivity, workspace","Functional, efficient, and context-aware. Prioritize visibility of tasks, communications, and project states. Avoid clutter or hidden interactions that block workflows.","Landing page must immediately convey platform capabilities: task tracking, communication, document sharing. Include clear examples of workflows. Single high-contrast CTA to sign up or demo. Avoid marketing fluff or hidden key actions.","Dashboard emphasizes projects, tasks, team activity, and deadlines. Filters, search, and notifications always visible. Collaboration tools (chat, file sharing) easily accessible. Avoid buried settings or confusing multi-step flows.","Neutral base with accent colors highlighting priority tasks, notifications, or deadlines. Semantic colors only for state feedback. Avoid decorative palettes that interfere with focus or readability.","Collaboration must be frictionless. Provide inline guidance, status updates, and undo options. Ensure mobile and accessibility support. Avoid lost context, hidden notifications, or non-intuitive workflows.","Efficient, productivity-first UI; emphasizes clarity, task visibility, and minimal friction in team workflows"
"Event Management / Ticketing Platform","event, ticket, management, booking, registration, attendee, venue, schedule, tickets","Organized, clear, and trust-inspiring. Prioritize discoverability of events, seating, and purchase options. Avoid confusing flows or excessive decorative elements.","Landing page showcases upcoming events, highlights key info (date, location, availability), and provides a clear purchase path. Include social proof or reviews selectively. Single primary CTA to register or buy. Avoid hidden pricing or crowded messaging.","Dashboard foregrounds events, attendees, bookings, and analytics. Filters, search, and sorting clearly labeled. Provide real-time updates on sales and availability. Avoid deeply nested menus or unclear actions.","Neutral background with brand accent highlighting CTAs and availability. Semantic colors for status indicators (available, sold out, pending). Avoid overly decorative palettes competing with content.","Transaction clarity and trust are paramount. Confirm bookings, show pricing clearly, provide receipts and confirmations. Avoid multi-step surprises, hidden fees, or confusing ticket allocations.","Trustworthy, organized UI; emphasizes event clarity, booking confidence, and actionable CTAs"
